"Timestamp","Used Memory (bytes)"
"2023-08-23T12:40:42.544077","55484760"
"2023-08-23T12:40:44.146765","27533288"
"2023-08-23T12:40:45.423154","38561200"
"2023-08-23T12:40:46.824329","49837528"
"2023-08-23T12:40:48.317659","60529592"
"2023-08-23T12:40:49.666416","75631720"
"2023-08-23T12:40:51.073579","46207720"
"2023-08-23T12:40:52.315260","56630504"
"2023-08-23T12:40:53.574279","67419104"
"2023-08-23T12:40:54.877006","77993768"
"2023-08-23T12:40:56.160266","34297760"
"2023-08-23T12:40:57.457082","45051584"
"2023-08-23T12:40:58.709776","56239256"
"2023-08-23T12:40:59.972472","70675768"
"2023-08-23T12:41:01.179602","26573600"
"2023-08-23T12:41:02.411871","37696704"
"2023-08-23T12:41:03.637636","48431952"
"2023-08-23T12:41:04.889611","59513808"
"2023-08-23T12:41:06.096138","70758520"
"2023-08-23T12:41:07.330575","27411848"
"2023-08-23T12:41:08.583441","39065784"
"2023-08-23T12:41:09.828864","53079568"
"2023-08-23T12:41:11.069646","64688112"
"2023-08-23T12:41:12.289908","76047656"
"2023-08-23T12:41:13.503717","31731240"
"2023-08-23T12:41:14.719197","42999336"
"2023-08-23T12:41:15.948321","54356224"
"2023-08-23T12:41:17.218383","77345352"
"2023-08-23T12:41:18.471860","33350624"
"2023-08-23T12:41:19.742733","50545168"
"2023-08-23T12:41:20.960544","63435896"
"2023-08-23T12:41:22.161559","74797672"
"2023-08-23T12:41:23.385309","31524072"
"2023-08-23T12:41:24.603853","42714968"
"2023-08-23T12:41:25.816889","54338576"
"2023-08-23T12:41:27.043499","65926184"
"2023-08-23T12:41:28.275504","77531256"
"2023-08-23T12:41:29.552880","36587000"
"2023-08-23T12:41:30.822414","48443336"
"2023-08-23T12:41:32.026771","60162928"
"2023-08-23T12:41:33.258233","71751072"
"2023-08-23T12:41:34.449557","28295760"
"2023-08-23T12:41:35.685622","40265048"
"2023-08-23T12:41:36.891436","52194656"
"2023-08-23T12:41:38.120784","63595760"
"2023-08-23T12:41:39.322851","76238336"
"2023-08-23T12:41:40.570698","35384816"
"2023-08-23T12:41:41.774137","47080864"
"2023-08-23T12:41:42.978101","59232768"
"2023-08-23T12:41:44.203257","70851560"
"2023-08-23T12:41:45.423098","28001640"
"2023-08-23T12:41:46.740","39694696"
"2023-08-23T12:41:48.018512","52429992"
"2023-08-23T12:41:49.248824","64323248"
"2023-08-23T12:41:50.487383","29251344"
"2023-08-23T12:41:51.733069","41528720"
"2023-08-23T12:41:52.951411","53683816"
"2023-08-23T12:41:54.169831","65339504"
"2023-08-23T12:41:55.389847","78023328"
"2023-08-23T12:41:56.626430","33506256"
"2023-08-23T12:41:57.875871","45840584"
"2023-08-23T12:41:59.085031","58919864"
"2023-08-23T12:42:00.317275","74001744"
"2023-08-23T12:42:01.518708","31182920"
"2023-08-23T12:42:02.741667","44031272"
"2023-08-23T12:42:03.967132","56348056"
"2023-08-23T12:42:05.230033","68650280"
"2023-08-23T12:42:06.437069","26122896"
"2023-08-23T12:42:07.670436","38610648"
"2023-08-23T12:42:08.914613","51321296"
"2023-08-23T12:42:10.168434","67019816"
"2023-08-23T12:42:11.376324","24851936"
"2023-08-23T12:42:12.624063","37799848"
"2023-08-23T12:42:13.869929","50194800"
"2023-08-23T12:42:15.116987","63140152"
"2023-08-23T12:42:16.315324","75560104"
"2023-08-23T12:42:17.545121","32997936"
"2023-08-23T12:42:18.751882","45742928"
"2023-08-23T12:42:20.033726","63863064"
"2023-08-23T12:42:21.267630","78010408"
"2023-08-23T12:42:22.492318","35546528"
"2023-08-23T12:42:23.707171","48492800"
"2023-08-23T12:42:24.983522","61431120"
"2023-08-23T12:42:26.198599","73855456"
"2023-08-23T12:42:27.414843","32733656"
"2023-08-23T12:42:28.629708","45440448"
"2023-08-23T12:42:29.854457","58477736"
"2023-08-23T12:42:31.049714","75083288"
"2023-08-23T12:42:32.251329","32859288"
"2023-08-23T12:42:33.470547","45891880"
"2023-08-23T12:42:34.672241","59429144"
"2023-08-23T12:42:35.867104","72453720"
"2023-08-23T12:42:37.089752","30558264"
"2023-08-23T12:42:38.294353","44136824"
"2023-08-23T12:42:39.494881","57551024"
"2023-08-23T12:42:40.723182","73674712"
"2023-08-23T12:42:41.952583","31851920"
"2023-08-23T12:42:43.169062","44940656"
"2023-08-23T12:42:44.388497","58497656"
"2023-08-23T12:42:45.583777","71591232"
"2023-08-23T12:42:46.814509","30222728"
"2023-08-23T12:42:48.044848","43903888"
"2023-08-23T12:42:49.252090","57804856"
"2023-08-23T12:42:50.457984","76701744"
"2023-08-23T12:42:51.691313","34561456"
"2023-08-23T12:42:52.900745","48658424"
"2023-08-23T12:42:54.121912","61719064"
"2023-08-23T12:42:55.357476","75831872"
"2023-08-23T12:42:56.553118","34012488"
"2023-08-23T12:42:57.772867","47639192"
"2023-08-23T12:42:58.988277","61508512"
"2023-08-23T12:43:00.208303","75148832"
"2023-08-23T12:43:01.468144","37402048"
"2023-08-23T12:43:02.673373","51647200"
"2023-08-23T12:43:03.880991","64841888"
"2023-08-23T12:43:05.131333","78492768"
"2023-08-23T12:43:06.331543","36946720"
"2023-08-23T12:43:07.546418","50580472"
"2023-08-23T12:43:08.724007","65059640"
"2023-08-23T12:43:09.959254","78691592"
"2023-08-23T12:43:11.185636","41073544"
"2023-08-23T12:43:12.441117","54794104"
"2023-08-23T12:43:13.621887","68530392"
"2023-08-23T12:43:14.815911","28300944"
